Text,Score
لدي اقتراح على مجلس النواب القادم بالتصويت على قانون يحدد مدة عمل الحكومة والوزراء لمدة زمنية واضحة لا تقل عن ثلاث سنوات وكذلك تثبيت جميع القوانين المؤقتة والدائمة لمدة زمنية لا تقل عن خمس سنوات وذلك لكي يتسنى للمواطن وللمستثمر وللسائح وللزائر ان يضع خطة لحياته او لعمله او لزيارته ولا يتفاجأ بتغيير القوانين كل يوم وكأننا نعيش في بورصة قوانين وبورصة وزراء , ارحمونا واثبتوا على رأي واحد لمدة سنة على الاقل لم يعد بوسعنا تحمل هذا التخبط الدائم,0
ما هي الخدمة التي تقدمها الحكومة مقابل استيفاء هذه الرسوم؟؟ هل توفر لنا حمامات نظيفة على النقاط الحدودية؟؟ هل يوجد هناك استراحات مجانية أو حتى بأسعار مقبولة على الطرقات الداخلية والخارجية؟؟,0
فرض ضريبة من غير مقابل هو دليل على الإفلاس الفكري لدى متخذ القرار.,0
ما ان نسير الى الامام حتى نجد من يرغب في اعاتنا الى الخلف .,0
تعددت المسائل المالية التي تم تعديلها من قبل الحكومة وكأن الحكومة السابقة كانت تتصرف دون أي حساب!! ان هذه الضريبة ستؤدي إلى اعادة فرض الرسوم من الجانب السوري فلماذا لا يكون فرض ضريبة المغادرة على المسافر الأردني فقط وبالتالي نشجع السياحة الداخلية؟,0
اذكركم بالسيارات الهجينة (الهايبرد)..تأملنا خير وقلنا أن الحكومة تحاول تخفيف الفاتورة النفطية عندما اعفت السيارات من الرسوم الجمركية والآن بالله عليكم اعطونا احصائية كم سيارة تم استيرادها منذ القرار؟؟ لقد تم وأد المبادرة في بدايتها وتم توريط الناس بشراء سيارات لن يكون لها قطع غيار في المستقبل لعدم وجود طلب عليها!اننا نمر في حالة من التخبط في القرارات ارحمونا منها رحمكم الله.,0
انا اشكر الحكومه على ترجيع الرسوم وقد الناس تستغرب من هذا الرد والسبب,0
هذه هي اساليب اليهود القتلى تدمير وقتل الابرياء والاطفال الى متى هذا المسلسل الذي لاينتهي من الدماء هل سنبقى نائمون الا نستيقظ من الغفوة لكن الله سوف ينتقم اشر الانتقام حسبي الله ونعم الوكيل سوف بظهر صلاح الدين وعمر كفانا نوم فلنستيقظ ياامة محمد,0
مع كل هذا القتل و الارهاب ومازال البعض - الاكثر - مصرًّّّّ على التطبيع . الى متى يا حكومتنا الموقرة؟؟؟؟,0
نستورد من الصهاينه اكثر من 2500 مادة معفاة من الرسوم الجمركية والمجمرك كان اعظم,0
حينها ستعتلي رايات,0
تلك رايات الجهــــــــأد,0
يوجد نقطتين ايجابيتين بالتقرير اولهما حملة بنفس اليوم لتوزيع 100 الف نسخة من القران على المسيحيين لدعوتهم للاسلام وتعريفهم بهذا الدين الذي هو خاتم الديانات السماوية وأأمل الى ان تصل الى 100 مليون نسخة بنفس اليوم.,0
ثانيا عندما سأله الصحفي عن شعوره اذا تم احراق الانجيل...أقول له المسلمين لن يحرقوا الانجيل لانهم يؤمنوا بالكتب السماوية جميعها ويؤمنوا بسيدنا عيسى عليه السلام فالاسلام دين شمولي لانه خاتم الديانات السماوية وهذا دليل قطعي على ان الاسلام هو الحلقة الاكبر والشمولي الذي يحوي بداخله الدين المسيحي والدين اليهودي لان الدين الاسلامي اتى شامل لكل الاديان السابقة ومعترف فيها وكل التعليمات الموجودة بالديانات السابقة موجودة بالاسلام لذلك قال الله ومن يبتغي غير الاسلام دينا لن يقبل منه لان المشرع لكل هذه الديانات السماوية هو مصدر واحد وهو الله.,0
مليار ومائة مليون مسلم يقفون يتفرجون والأسلام ينتهك لا ذنب عليهم الذنب ذنب المسلمين بيت الله يدنس وينتهك الأقصى والكل ينذر ماذا فعلو لا شيء نعم صدق الله للبيت رب يحمية والقرأن الله عزا وجل يحمية,0
اللهم انصر الأسلام والمسلمين وقضي على اعداء الدين أمين أمين,0
ان ما يصدر من هذه الجهات هو من فعل اليهود قطعيا وفئات كبيرة من المسيحيين تستنكر ماقد يحدث من أفعال مشينة للاسلام والمسلمين.,0
ولكن الله متم نوره ولو كره الكافرون.,0
المطلوب وقفة صادقة مع انفسنا لايقاف مثل هذه الافعال والدعاءات المسيئة للاسلام والمسلمين في أنحاء الأرض.....,0
اللهم انصر الإسلام والمسلمين ودمر اعداء الدين من اليهود وكل كافر وحاقد يارب العالمين. اللهم نصرك الذي وعدت يامن بيده القوة والتمكين . اللهم ارنا في امريكا ومن عاونها عجائب قدرتك واجعلهم عبرة للمعتبرين. اللهم ارحم موتى المسلمين وارزقهم مراتب الشهداء.اللهم اخذل من خذل الدين اللهم انك قلت وقولك الحق ادعوني استجب لكم اللهم منا الدعاء ومنك الإجابةاللـــــــــهم آمــــين آمـــين,0
يريدون حرق كتاب الله عز وجل ولا نقول فيهم الا كما قال الله سبحانه وتعالى ( يريدون ان يطفؤا نور الله بأفواههم والله متم نوره ولو كره الكافرون) ويمكرون ويمكر الله والله خير الماكرين الى جهنم يا اعداء الله وبئس المصير,0
تشرفت بمعرفة الدكتور خالد من وقت طويل ، وهو يستحق لدماثة أخلاقه وسعة علمه كل التقدير والاحترام، من كافة الاوساط الشعبية والرسمية . الى الامام دكتور خالد.,0
إننا كأردننين نفتخر بابن بلدنا الذي تقدم بعلمه الى هذه الدرجات العلمية والمناصب العالمية.,0
ولكن للاسف هذا العالم الاردني لا يعمل في الاردن نتيجة وقوف بعض المسؤوليين في وجه طموحه وتحدياته!,0
ليس من الغريب ان يظهر شباب تشد بهم الظهور من هذا الوطن المعطاء الشحيح الموارد المادية ولكنه غني بشبابه مثل الأخ السيد العالم البقاعيين اتمنى لك من داخل حجرات فلبي التوفيق ومزيد من النجاح واتمنى من الشباب ان يكون القدوة لهم وان يعلموا ان نيل المطالب ليس بالتمني متمنياًمن حكومتنا ان تدعم المبدعين في كل مكان لاجل رفعة الوطن واستغلال الطاقة البشرية والعقول المهاجرة خارج الوطن مع احترمي للجميع والله من وراء القصد,0
اولا: اي امراة بالعالم اذا تم الاعتذار لها اكتر من مرة سوف تحسبها ضعف في الرجل وليس احترام وانا اتحدى,0
تانيا : المراة بطبيعتها عندها حب السيطرة والتملك,0
ثالثا: المراة رقيقة وضعيفة ولكن تستعمل هذه الامور بقوة وجبروت (ضعف المراة هو قوتها),0
رابعا: الاهم لو اخلصت لها الدهر ورأت منك شر تقول مارايت منك خير,0
نهاية حديثي ان لا يستعمل الرجل السلطة ضد المراة ويظلمها لأنهن امانة بأعناقنا وخير صديق بالحياة اذا احسنت الاختيار وهذا صعب في هذه الايام,0
تحياتي للكاتبة على هذا الموضوع الشيق والصعب بنفس الوقت لأن ليس له اجابة,0
اعتزار الرجل من المراه وعي ونماء فكري فقد يكون حل لكتير من المشاكل والاخلافات وهذا يزيد من رجولته لا ينقصها,0
نعم لا داعي لان يتم تمييز المرأه عن الرجل بشي فهي كائن له مشاعره الجياشه والتي هي اقوى من مشاعر الرجل والاعتذار لها هو من اروع صفات الرجوله ولكن ليكن اعتذارك عن الخطأ الذي ارتكبته فقط وان لا تتمادى بالاعتذار,0
"هل المرأة نصف إنسان حتى يصبح الاعتذار لها أمر بحاجة لدراسات ولآراء اختصاصيين؟ أنا لا أرى في اعتذار الرجل من المرأة أية مشكلة لأنها إنسان مثله وهي ند له وليست اقل قيمة منه حتى يكون الاعتذار لها عبارة عن تنازل ""وتضحية"" يقدمها الرجل!",0
&quot;...،حيث لم يشارك اللاعب البرازيلي في المباراة الاخيرة امام المنشية، بسبب عدم وصول البطاقة، فيما شارك (الروماني ماريان) بعد وصول البطاقة.,0
الى الجميع لا تحلموا بأي بطوله سواء بالدرع او كأس الكؤؤس,0
(مدرب أحد الاندية الممتازة بدا ممتعضا من تسريب اخبار الفريق لوسائل الإعلام... المدرب هدد اللاعبين وطلب منهم ضرورة عدم سريب الاخبار المتعلقة بالفريق),0
منشية بني حسن قادم بقوة مدعوم من جماهيرة العريضة,0
تتحدث عن البطولات الخارجية لا اعتبر ان الفشل في البطولات الخارجية شيئا كبيرا امام فشل الفيصلي الذريع بتخطي عقبة العقدة شباب الاردن و اصبح مؤخرا عقدتكم الوحدات و سنثبت ذلك يوم 13/8,0
رد وإقتباس لمشاركة الأخ أب محيسن,0
((مبروك قطعة الخشب المصنوعه من التربلاي لاي فريق يفوز بها اصلا هي بطوله غير مهمه وكان الاتحاد ينوي الاستغناء عنها هذا الموسم ولكن اجتماع الانديه مع الاتحاد واقناعهم الاتحاد بانها بطوله تنشيطيه استعداديه لتجربة اكبر عدد ممكن من اللاعبين وتجربة المحترفين الجدد لاختيارهم والوقوف على احتياجات الفريق .,0
فالمستفيد الاول والاخير طبعا بدون نقاش هو كالعاده الفيصلي زعيم وعميد الانديه الاردنيه وذلك بكسبه الرهان وحصوله على فريق الاحلام للمستقبل الفريق الشاب فريق (الدريم تيم)تحت سن العشرين وصالو وجالو ولاننسى اراحة الفريق الاول والتدريب والجمل التكتيكيه بعيدا عن الانظار وبعيدا عن الاصابات .,0
فمبروك للفيصلي هذا الفريق الشاب الذي سيكون الموسم القادم هو الفريق الاول,0
و اي مشاركة خارجية بهذا الفريق الذي يفتقد للياقة البدنية اساس الرياضة,0
تعجبني احلامك بفريقك و لكن للاسف فريقك خذلك كثيرا مؤخرا .,0
نكررها كثيرا بأن انجاز الزعيم الاخضر بحصد البطولات بفريق الشباب هو انجاز حصري للزعامة فقط,0
أما أنكم كسبتم فريق الأحلام فمبروك لكم،ولي أن أسأل كيف لو أنكم فزتم بهذا الفريق بالبطولة،كما فعل معلمكم الأول الوحدات ،في الموسم قبل الماضي عندما فاز بالبطولةبالرديف، والتي اشترك فيهازعيمكم بالفريق الأول وخرج خالي الوفاض،أقول كيف لو فزتم هذا العام بالرديف؟؟؟,0
لقد حاولتم تقليد الزعيم الحقيقي صاحب الريادة فلم تفحلوا،فقلتم :بطولة الخشبة!!,0
فمبروك للفيصلي هذا الفريق الشاب الذي سيكون الموسم القادم هو الفريق الاول,0
صبـــاح الغــد,0
القضية هي بأن مباراة كأس الكؤوس ليست معروضة للتأجيل فهي تعد إفتتاحية الموسم الكروي ، ولا يجب أن يكون هنالك تأجيل ...,0
البعض يقول بأن ملعب الملك عبد الله في القويسمة هو ملعب الوحدات والأقرب الى جمهوره ، نعم هذه حقيقة وليست خيال ، لكن المنطقية والمراعاة في الموضوع يجب أن تتضح حيث أن منطقة القويسمة تعج بعشاق الفيصلي والوحدات ايضاً ومن يعشق فريقه يذهب وراءه ويشجعه .,0
ملعب الامير محمد في الزرقاء لن تنسى جماهير الوحدات من خلاله ما حصل معها حينما تعرضت الى وابل من الحجارة واعمال الشغب ...,0
جماهير الفيصلي ايضاً جماهير عاقلة ومحترمة حالها كحال جماهيرالوحدات ...,0
لكن بقي ان نقول ، بأن هنالك فئة مندسة بين الجمهورين هي من تثير الدسائس والفتن ...,0
يا ترى لو كان الوحدات هو الفريق المعترض أكنا سنجد مثل هذه التعليقات؟,0
لماذا لا يتم توزيع المباريات لتقام على ستاد عمان وستاد القويسمة؟,0
بربكم ألا تشعرون بشيء مريب؟,0
شكرا للغد.,0
"للاسف الفيصلي يبحث عن اي حُُُجة وان كانت واهيه لتأجيل المباراة لان الفريق غير جاهز لهذه المباراة المهمة، والفيصلي يعلم انه اذا ما اقيمت المباراة في موعدها فستكون نتائجها كارثيه على الفريق ، لان الزعيم الوحداتي في قمة أوجه وجاهزيته لهذه المباراة ، وبالتالي اللقب مضمون بمشيئة الله للزعيم المارد الاخضر ، الفريقان من العاصمة عمان ، وملاعب عمان هي ستاد عمان وستاد القويسمة وبما انه ملعب ستاد عمان غير جاهز فالمباراة يجب ان تقام على ستاد القويسمة "" ملعب النار والانتصار ""وليس للفيصلي الحق بالاعتراض أ والمطالبة بنقل المباراة الى اي ملعب اخر وعلى الاتحاد تطبيق القانون بدون مجاملة ، وللوحدات الحق بعدم الموافقة على لعب المباراة على اي ملعب خارج العاصمة، أو حتى الموافقة علت تاجيلها.",0
كل الشكر لجريدة الغد منبر الاحرار وصاحبة حرية الرأي والرأي الاخر.وكل الاحترام والتقدير للقائمين على القسم الرياضي واخص بالذكر الرائع تيسير العميري,0
الحل المنطقي اقامة المبارة في ارض محايدة /ملعب مدينة الحسن في اربد,0
1) لماذا لا تقام المباريات في صالة الامير حمزة بن الحسين.,0
"هل تعتقد انهم سوف يتنازلون عن الربح في توليد الكهرباء و بيع الغاز المصري """"المدعوم"""" للشريحه الصناعيه التي يعود تاثيرها على المواطن.",0
اعتقد انها سوف تصل تركيا قبل وصولها للمواطن.,0
اذا كان عباس غير مقتنع بالمفاوضات و عليه ضغط كبير من امريكا اذا لماذا يذهب عكس قناعاته. لماذا لا يعتزل و يرتاح من الضغوط الامريكيه و يرتاح من تأنيب الضمير؟!,0
كفانا سكوت اطفال فلسطين يتحدون جنود الاحتلال وهم لايخافون منهم ونحن ساكتون الى متى فلننزع الاشرطة عن افواهنا ونقل كلمة حق واحدة لانخاف منها,0
فتى فلسطيني يجادل جنديا إسرائيليا أمس خلال مسيرة احتجاجية ضد مستوطنة كارمي تسور التي انشئت على أراضي قرية بيت أمر قرب مدينة الخليل المحتلة ؟,0
وإسرائيل تبني نفسها وتتقوّى,0
وستبلع ألعالم العربي قطعة قطعة,0
طفل لم يتجاوز ال12 سنة يقف بوجه جندي اعتى الجيوش العالمية ولا يهاب,0
